,Id numeric,Id text,Sample name,Sampled date,Sampling start,Sampling end,Testname,Component name,Wnsident,Result text,Units,Result status,Dig rap,Pdf rap,Order number
    889255System.Drawing.Bitmap,889255,22-125374,NL14_20930,9/20/2022 0:00,,,OW Administratie per monster,Administratiekosten,,,,Unavailable,,,OMS22-906
    889255System.Drawing.Bitmap,889255,22-125374,NL14_20930,9/20/2022 0:00,,,"OW Filtratie 0.45 µm, Klein","Filtratie 0.45 µm, klein filter",,,,Unavailable,,,OMS22-906
    889256System.Drawing.Bitmap,889256,22-125375,NL14_20930,9/16/2022 0:00,,,OW Nutriënten,Cl nf,[] [CONCTTE] [Cl] [mg/l] [nf] [OW],,mg/l,Unavailable,,,OMS22-906
    889256System.Drawing.Bitmap,889256,22-125375,NL14_20930,9/16/2022 0:00,,,OW Bemonsteringsdiepte,Bemonsteringsdiepte,[] [MONSDTE] [] [m] [NVT] [OW],,m,Unavailable,,,OMS22-906
    889256System.Drawing.Bitmap,889256,22-125375,NL14_20930,9/16/2022 0:00,,,OW EGV en temperatuur,Geleidendheid,[] [GELDHD] [] [uS/cm] [25oC] [OW],,uS/cm,Unavailable,,,OMS22-906
    889256System.Drawing.Bitmap,889256,22-125375,NL14_20930,9/16/2022 0:00,,,OW EGV en temperatuur,Temperatuur EGV,[] [T] [] [oC] [NVT] [OW],,oC,Unavailable,,,OMS22-906
    889256System.Drawing.Bitmap,889256,22-125375,NL14_20930,9/16/2022 0:00,,,OW Steekbemonstering tbv fysisch-chemisch onderzoek,Steekbemonstering tbv fysisch-chemisch onderzoek,,,,Unavailable,,,OMS22-906
    889256System.Drawing.Bitmap,889256,22-125375,NL14_20930,9/16/2022 0:00,,,OW Locatiebezoek in route,Locatiebezoek in route,,,,Unavailable,,,OMS22-906
    889256System.Drawing.Bitmap,889256,22-125375,NL14_20930,9/16/2022 0:00,,,OW Administratie per monster,Administratiekosten,,,,Unavailable,,,OMS22-906
    889256System.Drawing.Bitmap,889256,22-125375,NL14_20930,9/16/2022 0:00,,,"OW Filtratie 0.45 µm, Klein","Filtratie 0.45 µm, klein filter",,,,Unavailable,,,OMS22-906
    889257System.Drawing.Bitmap,889257,22-125376,NL14_20930,9/13/2022 0:00,,,OW Nutriënten,Cl nf,[] [CONCTTE] [Cl] [mg/l] [nf] [OW],,mg/l,Unavailable,,,OMS22-906
    889257System.Drawing.Bitmap,889257,22-125376,NL14_20930,9/13/2022 0:00,,,OW Bemonsteringsdiepte,Bemonsteringsdiepte,[] [MONSDTE] [] [m] [NVT] [OW],,m,Unavailable,,,OMS22-906
    889257System.Drawing.Bitmap,889257,22-125376,NL14_20930,9/13/2022 0:00,,,OW EGV en temperatuur,Geleidendheid,[] [GELDHD] [] [uS/cm] [25oC] [OW],,uS/cm,Unavailable,,,OMS22-906
    889257System.Drawing.Bitmap,889257,22-125376,NL14_20930,9/13/2022 0:00,,,OW EGV en temperatuur,Temperatuur EGV,[] [T] [] [oC] [NVT] [OW],,oC,Unavailable,,,OMS22-906
    889257System.Drawing.Bitmap,889257,22-125376,NL14_20930,9/13/2022 0:00,,,OW Steekbemonstering tbv fysisch-chemisch onderzoek,Steekbemonstering tbv fysisch-chemisch onderzoek,,,,Unavailable,,,OMS22-906
    889257System.Drawing.Bitmap,889257,22-125376,NL14_20930,9/13/2022 0:00,,,OW Locatiebezoek in route,Locatiebezoek in route,,,,Unavailable,,,OMS22-906
    889257System.Drawing.Bitmap,889257,22-125376,NL14_20930,9/13/2022 0:00,,,OW Administratie per monster,Administratiekosten,,,,Unavailable,,,OMS22-906
    889257System.Drawing.Bitmap,889257,22-125376,NL14_20930,9/13/2022 0:00,,,"OW Filtratie 0.45 µm, Klein","Filtratie 0.45 µm, klein filter",,,,Unavailable,,,OMS22-906
    889258System.Drawing.Bitmap,889258,22-125377,NL14_20930,9/9/2022 0:00,,,OW Nutriënten,Cl nf,[] [CONCTTE] [Cl] [mg/l] [nf] [OW],,mg/l,Unavailable,,,OMS22-906
    889258System.Drawing.Bitmap,889258,22-125377,NL14_20930,9/9/2022 0:00,,,OW Bemonsteringsdiepte,Bemonsteringsdiepte,[] [MONSDTE] [] [m] [NVT] [OW],,m,Unavailable,,,OMS22-906
    889258System.Drawing.Bitmap,889258,22-125377,NL14_20930,9/9/2022 0:00,,,OW EGV en temperatuur,Geleidendheid,[] [GELDHD] [] [uS/cm] [25oC] [OW],,uS/cm,Unavailable,,,OMS22-906
    889258System.Drawing.Bitmap,889258,22-125377,NL14_20930,9/9/2022 0:00,,,OW EGV en temperatuur,Temperatuur EGV,[] [T] [] [oC] [NVT] [OW],,oC,Unavailable,,,OMS22-906
    889258System.Drawing.Bitmap,889258,22-125377,NL14_20930,9/9/2022 0:00,,,OW Steekbemonstering tbv fysisch-chemisch onderzoek,Steekbemonstering tbv fysisch-chemisch onderzoek,,,,Unavailable,,,OMS22-906
    889258System.Drawing.Bitmap,889258,22-125377,NL14_20930,9/9/2022 0:00,,,OW Locatiebezoek in route,Locatiebezoek in route,,,,Unavailable,,,OMS22-906
    889258System.Drawing.Bitmap,889258,22-125377,NL14_20930,9/9/2022 0:00,,,OW Administratie per monster,Administratiekosten,,,,Unavailable,,,OMS22-906
    889258System.Drawing.Bitmap,889258,22-125377,NL14_20930,9/9/2022 0:00,,,"OW Filtratie 0.45 µm, Klein","Filtratie 0.45 µm, klein filter",,,,Unavailable,,,OMS22-906
    889259System.Drawing.Bitmap,889259,22-125378,NL14_20930,9/6/2022 0:00,,,OW Nutriënten,Cl nf,[] [CONCTTE] [Cl] [mg/l] [nf] [OW],,mg/l,Unavailable,,,OMS22-906
    889259System.Drawing.Bitmap,889259,22-125378,NL14_20930,9/6/2022 0:00,,,OW Bemonsteringsdiepte,Bemonsteringsdiepte,[] [MONSDTE] [] [m] [NVT] [OW],,m,Unavailable,,,OMS22-906
    889259System.Drawing.Bitmap,889259,22-125378,NL14_20930,9/6/2022 0:00,,,OW EGV en temperatuur,Geleidendheid,[] [GELDHD] [] [uS/cm] [25oC] [OW],,uS/cm,Unavailable,,,OMS22-906
    889259System.Drawing.Bitmap,889259,22-125378,NL14_20930,9/6/2022 0:00,,,OW EGV en temperatuur,Temperatuur EGV,[] [T] [] [oC] [NVT] [OW],,oC,Unavailable,,,OMS22-906
    889259System.Drawing.Bitmap,889259,22-125378,NL14_20930,9/6/2022 0:00,,,OW Steekbemonstering tbv fysisch-chemisch onderzoek,Steekbemonstering tbv fysisch-chemisch onderzoek,,,,Unavailable,,,OMS22-906
    889259System.Drawing.Bitmap,889259,22-125378,NL14_20930,9/6/2022 0:00,,,OW Locatiebezoek in route,Locatiebezoek in route,,,,Unavailable,,,OMS22-906
    889259System.Drawing.Bitmap,889259,22-125378,NL14_20930,9/6/2022 0:00,,,OW Administratie per monster,Administratiekosten,,,,Unavailable,,,OMS22-906
    889259System.Drawing.Bitmap,889259,22-125378,NL14_20930,9/6/2022 0:00,,,"OW Filtratie 0.45 µm, Klein","Filtratie 0.45 µm, klein filter",,,,Unavailable,,,OMS22-906
    889260System.Drawing.Bitmap,889260,22-125379,NL14_20930,9/2/2022 0:00,,,OW Nutriënten,Cl nf,[] [CONCTTE] [Cl] [mg/l] [nf] [OW],,mg/l,Unavailable,,,OMS22-906
    889260System.Drawing.Bitmap,889260,22-125379,NL14_20930,9/2/2022 0:00,,,OW Bemonsteringsdiepte,Bemonsteringsdiepte,[] [MONSDTE] [] [m] [NVT] [OW],,m,Unavailable,,,OMS22-906
    889260System.Drawing.Bitmap,889260,22-125379,NL14_20930,9/2/2022 0:00,,,OW EGV en temperatuur,Geleidendheid,[] [GELDHD] [] [uS/cm] [25oC] [OW],,uS/cm,Unavailable,,,OMS22-906
    889260System.Drawing.Bitmap,889260,22-125379,NL14_20930,9/2/2022 0:00,,,OW EGV en temperatuur,Temperatuur EGV,[] [T] [] [oC] [NVT] [OW],,oC,Unavailable,,,OMS22-906
    889260System.Drawing.Bitmap,889260,22-125379,NL14_20930,9/2/2022 0:00,,,OW Steekbemonstering tbv fysisch-chemisch onderzoek,Steekbemonstering tbv fysisch-chemisch onderzoek,,,,Unavailable,,,OMS22-906
    889260System.Drawing.Bitmap,889260,22-125379,NL14_20930,9/2/2022 0:00,,,OW Locatiebezoek in route,Locatiebezoek in route,,,,Unavailable,,,OMS22-906
    889260System.Drawing.Bitmap,889260,22-125379,NL14_20930,9/2/2022 0:00,,,OW Administratie per monster,Administratiekosten,,,,Unavailable,,,OMS22-906
    889260System.Drawing.Bitmap,889260,22-125379,NL14_20930,9/2/2022 0:00,,,"OW Filtratie 0.45 µm, Klein","Filtratie 0.45 µm, klein filter",,,,Unavailable,,,OMS22-906
    889261System.Drawing.Bitmap,889261,22-125380,NL14_20930,8/30/2022 0:00,,,OW Nutriënten,Cl nf,[] [CONCTTE] [Cl] [mg/l] [nf] [OW],,mg/l,Unavailable,,,OMS22-906
    889261System.Drawing.Bitmap,889261,22-125380,NL14_20930,8/30/2022 0:00,,,OW Bemonsteringsdiepte,Bemonsteringsdiepte,[] [MONSDTE] [] [m] [NVT] [OW],,m,Unavailable,,,OMS22-906
    889261System.Drawing.Bitmap,889261,22-125380,NL14_20930,8/30/2022 0:00,,,OW EGV en temperatuur,Geleidendheid,[] [GELDHD] [] [uS/cm] [25oC] [OW],,uS/cm,Unavailable,,,OMS22-906
    889261System.Drawing.Bitmap,889261,22-125380,NL14_20930,8/30/2022 0:00,,,OW EGV en temperatuur,Temperatuur EGV,[] [T] [] [oC] [NVT] [OW],,oC,Unavailable,,,OMS22-906
    889261System.Drawing.Bitmap,889261,22-125380,NL14_20930,8/30/2022 0:00,,,OW Steekbemonstering tbv fysisch-chemisch onderzoek,Steekbemonstering tbv fysisch-chemisch onderzoek,,,,Unavailable,,,OMS22-906
    889261System.Drawing.Bitmap,889261,22-125380,NL14_20930,8/30/2022 0:00,,,OW Locatiebezoek in route,Locatiebezoek in route,,,,Unavailable,,,OMS22-906
    889261System.Drawing.Bitmap,889261,22-125380,NL14_20930,8/30/2022 0:00,,,OW Administratie per monster,Administratiekosten,,,,Unavailable,,,OMS22-906
    889261System.Drawing.Bitmap,889261,22-125380,NL14_20930,8/30/2022 0:00,,,"OW Filtratie 0.45 µm, Klein","Filtratie 0.45 µm, klein filter",,,,Unavailable,,,OMS22-906
    889262System.Drawing.Bitmap,889262,22-125381,NL14_20930,8/26/2022 0:00,,,OW Nutriënten,Cl nf,[] [CONCTTE] [Cl] [mg/l] [nf] [OW],,mg/l,Unavailable,,,OMS22-906
    889262System.Drawing.Bitmap,889262,22-125381,NL14_20930,8/26/2022 0:00,,,OW Bemonsteringsdiepte,Bemonsteringsdiepte,[] [MONSDTE] [] [m] [NVT] [OW],,m,Unavailable,,,OMS22-906
    889262System.Drawing.Bitmap,889262,22-125381,NL14_20930,8/26/2022 0:00,,,OW EGV en temperatuur,Geleidendheid,[] [GELDHD] [] [uS/cm] [25oC] [OW],,uS/cm,Unavailable,,,OMS22-906
    889262System.Drawing.Bitmap,889262,22-125381,NL14_20930,8/26/2022 0:00,,,OW EGV en temperatuur,Temperatuur EGV,[] [T] [] [oC] [NVT] [OW],,oC,Unavailable,,,OMS22-906
    889262System.Drawing.Bitmap,889262,22-125381,NL14_20930,8/26/2022 0:00,,,OW Steekbemonstering tbv fysisch-chemisch onderzoek,Steekbemonstering tbv fysisch-chemisch onderzoek,,,,Unavailable,,,OMS22-906
    889262System.Drawing.Bitmap,889262,22-125381,NL14_20930,8/26/2022 0:00,,,OW Locatiebezoek in route,Locatiebezoek in route,,,,Unavailable,,,OMS22-906
    889262System.Drawing.Bitmap,889262,22-125381,NL14_20930,8/26/2022 0:00,,,OW Administratie per monster,Administratiekosten,,,,Unavailable,,,OMS22-906
    889262System.Drawing.Bitmap,889262,22-125381,NL14_20930,8/26/2022 0:00,,,"OW Filtratie 0.45 µm, Klein","Filtratie 0.45 µm, klein filter",,,,Unavailable,,,OMS22-906
    889263System.Drawing.Bitmap,889263,22-125382,NL14_20930,8/23/2022 0:00,,,OW Nutriënten,Cl nf,[] [CONCTTE] [Cl] [mg/l] [nf] [OW],,mg/l,Unavailable,,,OMS22-906
    889263System.Drawing.Bitmap,889263,22-125382,NL14_20930,8/23/2022 0:00,,,OW Bemonsteringsdiepte,Bemonsteringsdiepte,[] [MONSDTE] [] [m] [NVT] [OW],,m,Unavailable,,,OMS22-906
    889263System.Drawing.Bitmap,889263,22-125382,NL14_20930,8/23/2022 0:00,,,OW EGV en temperatuur,Geleidendheid,[] [GELDHD] [] [uS/cm] [25oC] [OW],,uS/cm,Unavailable,,,OMS22-906
    889263System.Drawing.Bitmap,889263,22-125382,NL14_20930,8/23/2022 0:00,,,OW EGV en temperatuur,Temperatuur EGV,[] [T] [] [oC] [NVT] [OW],,oC,Unavailable,,,OMS22-906
    889263System.Drawing.Bitmap,889263,22-125382,NL14_20930,8/23/2022 0:00,,,OW Steekbemonstering tbv fysisch-chemisch onderzoek,Steekbemonstering tbv fysisch-chemisch onderzoek,,,,Unavailable,,,OMS22-906
    889263System.Drawing.Bitmap,889263,22-125382,NL14_20930,8/23/2022 0:00,,,OW Locatiebezoek in route,Locatiebezoek in route,,,,Unavailable,,,OMS22-906
    889263System.Drawing.Bitmap,889263,22-125382,NL14_20930,8/23/2022 0:00,,,OW Administratie per monster,Administratiekosten,,,,Unavailable,,,OMS22-906
    889263System.Drawing.Bitmap,889263,22-125382,NL14_20930,8/23/2022 0:00,,,"OW Filtratie 0.45 µm, Klein","Filtratie 0.45 µm, klein filter",,,,Unavailable,,,OMS22-906
    889264System.Drawing.Bitmap,889264,22-125383,NL14_20930,8/19/2022 0:00,,,OW Nutriënten,Cl nf,[] [CONCTTE] [Cl] [mg/l] [nf] [OW],,mg/l,Unavailable,,,OMS22-906
    889264System.Drawing.Bitmap,889264,22-125383,NL14_20930,8/19/2022 0:00,,,OW Bemonsteringsdiepte,Bemonsteringsdiepte,[] [MONSDTE] [] [m] [NVT] [OW],,m,Unavailable,,,OMS22-906
    889264System.Drawing.Bitmap,889264,22-125383,NL14_20930,8/19/2022 0:00,,,OW EGV en temperatuur,Geleidendheid,[] [GELDHD] [] [uS/cm] [25oC] [OW],,uS/cm,Unavailable,,,OMS22-906
    889264System.Drawing.Bitmap,889264,22-125383,NL14_20930,8/19/2022 0:00,,,OW EGV en temperatuur,Temperatuur EGV,[] [T] [] [oC] [NVT] [OW],,oC,Unavailable,,,OMS22-906
    889264System.Drawing.Bitmap,889264,22-125383,NL14_20930,8/19/2022 0:00,,,OW Steekbemonstering tbv fysisch-chemisch onderzoek,Steekbemonstering tbv fysisch-chemisch onderzoek,,,,Unavailable,,,OMS22-906
    889264System.Drawing.Bitmap,889264,22-125383,NL14_20930,8/19/2022 0:00,,,OW Locatiebezoek in route,Locatiebezoek in route,,,,Unavailable,,,OMS22-906
    889264System.Drawing.Bitmap,889264,22-125383,NL14_20930,8/19/2022 0:00,,,OW Administratie per monster,Administratiekosten,,,,Unavailable,,,OMS22-906
    889264System.Drawing.Bitmap,889264,22-125383,NL14_20930,8/19/2022 0:00,,,"OW Filtratie 0.45 µm, Klein","Filtratie 0.45 µm, klein filter",,,,Unavailable,,,OMS22-906
    889265System.Drawing.Bitmap,889265,22-125384,NL14_20930,8/16/2022 0:00,,,OW Nutriënten,Cl nf,[] [CONCTTE] [Cl] [mg/l] [nf] [OW],,mg/l,Unavailable,,,OMS22-906
    889265System.Drawing.Bitmap,889265,22-125384,NL14_20930,8/16/2022 0:00,,,OW Bemonsteringsdiepte,Bemonsteringsdiepte,[] [MONSDTE] [] [m] [NVT] [OW],,m,Unavailable,,,OMS22-906
